num_agents,graph,difficulty,prob_successful_convergence,prob_unsuccessful_convergence,prob_polarization,update_type,m,avg_time_to_convergence
2,complete,0.05,0.6382,0.3618,0.0,"Jeffrey, anti-updating",0.0,2.3983
2,complete,0.05,0.6398,0.3602,0.0,Jeffrey,0.0,2.7437
2,complete,0.05,0.6866,0.3134,0.0,"Jeffrey, anti-updating",1.0,5.679
2,complete,0.05,0.6323,0.3677,0.0,Jeffrey,1.0,6.1323
2,complete,0.05,0.6137,0.3169,0.0694,"Jeffrey, anti-updating",1.1,4.6568
2,complete,0.05,0.5269,0.4296,0.0435,Jeffrey,1.1,4.2604
2,complete,0.05,0.3621,0.3687,0.2692,"Jeffrey, anti-updating",1.5,2.8293
2,complete,0.05,0.3682,0.2826,0.3492,Jeffrey,1.5,2.5103
2,complete,0.05,0.2343,0.3368,0.4289,"Jeffrey, anti-updating",2.0,1.8623
2,complete,0.05,0.2126,0.3748,0.4126,Jeffrey,2.0,1.8739
2,complete,0.05,0.1761,0.339,0.4849,"Jeffrey, anti-updating",2.5,1.7658
2,complete,0.05,0.2489,0.2756,0.4755,Jeffrey,2.5,1.875
2,wheel,0.05,0.5964,0.4036,0.0,"Jeffrey, anti-updating",0.0,2.6289
2,wheel,0.05,0.6724,0.3276,0.0,Jeffrey,0.0,2.7524
2,wheel,0.05,0.6378,0.3622,0.0,"Jeffrey, anti-updating",1.0,5.2608
2,wheel,0.05,0.6307,0.3693,0.0,Jeffrey,1.0,5.5701
2,wheel,0.05,0.5444,0.3488,0.1068,"Jeffrey, anti-updating",1.1,4.8442
2,wheel,0.05,0.5829,0.3446,0.0725,Jeffrey,1.1,4.3041
2,wheel,0.05,0.3214,0.3318,0.3468,"Jeffrey, anti-updating",1.5,2.3974
2,wheel,0.05,0.3111,0.4219,0.267,Jeffrey,1.5,2.34
2,wheel,0.05,0.2229,0.4023,0.3748,"Jeffrey, anti-updating",2.0,1.8335
2,wheel,0.05,0.2361,0.3854,0.3785,Jeffrey,2.0,1.8373
2,wheel,0.05,0.2264,0.3633,0.4103,"Jeffrey, anti-updating",2.5,1.9044
2,wheel,0.05,0.199,0.349,0.452,Jeffrey,2.5,1.7877
2,complete,0.1,0.7486,0.2514,0.0,"Jeffrey, anti-updating",0.0,1.4665
2,complete,0.1,0.7224,0.2776,0.0,Jeffrey,0.0,1.4315
2,complete,0.1,0.7103,0.2897,0.0,"Jeffrey, anti-updating",1.0,2.8241
2,complete,0.1,0.7156,0.2844,0.0,Jeffrey,1.0,2.5179
2,complete,0.1,0.6524,0.2736,0.074,"Jeffrey, anti-updating",1.1,2.129
2,complete,0.1,0.6589,0.2577,0.0834,Jeffrey,1.1,2.0832
2,complete,0.1,0.5013,0.2551,0.2436,"Jeffrey, anti-updating",1.5,1.7884
2,complete,0.1,0.4625,0.2375,0.3,Jeffrey,1.5,1.9363
