num_agents,graph,difficulty,prob_successful_convergence,prob_unsuccessful_convergence,avg_time_to_convergence
5,path,0.1,0.9827,0.0173,1.7884
5,wheel,0.1,0.9754,0.0246,1.0948
5,complete,0.1,0.9539,0.0461,1.0
5,cycle,0.1,0.9771,0.0229,1.3171
5,path,0.01,0.9241,0.0759,8.8812
5,wheel,0.01,0.9197,0.0803,4.1161
5,complete,0.01,0.9334,0.0666,3.1554
5,cycle,0.01,0.924,0.076,5.9307
5,path,0.001,0.8099,0.1737,695.3736
5,wheel,0.001,0.7671,0.2329,226.489
5,complete,0.001,0.7919,0.2081,173.1403
5,cycle,0.001,0.8273,0.1727,434.5221
6,path,0.1,0.9835,0.0165,1.8346
6,wheel,0.1,0.9843,0.0157,1.1546
6,complete,0.1,0.978,0.022,1.0
6,cycle,0.1,0.9843,0.0157,1.4761
6,path,0.01,0.9606,0.0394,10.1896
6,wheel,0.01,0.9543,0.0457,4.3647
6,complete,0.01,0.9411,0.0589,2.825
6,cycle,0.01,0.9546,0.0454,6.9643
6,path,0.001,0.857,0.1139,778.297
6,wheel,0.001,0.8569,0.1431,287.4865
6,complete,0.001,0.8126,0.1874,160.5016
6,cycle,0.001,0.8918,0.1078,545.0306
7,path,0.1,0.9915,0.0085,1.9586
7,wheel,0.1,0.9923,0.0077,1.1953
7,complete,0.1,0.992,0.008,1.0
7,cycle,0.1,0.9922,0.0078,1.5527
7,path,0.01,0.9795,0.0205,10.9545
7,wheel,0.01,0.9682,0.0318,4.7512
7,complete,0.01,0.9449,0.0551,2.5976
7,cycle,0.01,0.9798,0.0202,7.8129
7,path,0.001,0.8738,0.0905,836.1173
7,wheel,0.001,0.8939,0.1061,345.827
7,complete,0.001,0.8466,0.1534,156.0413
7,cycle,0.001,0.9181,0.0804,603.3939
8,path,0.1,0.9968,0.0032,2.0344
8,wheel,0.1,0.9974,0.0026,1.2178
8,complete,0.1,0.9954,0.0046,1.0
8,cycle,0.1,0.9972,0.0028,1.6407
8,path,0.01,0.985,0.015,11.5217
8,wheel,0.01,0.9795,0.0205,5.0506
8,complete,0.01,0.9616,0.0384,2.4705
8,cycle,0.01,0.9807,0.0193,8.3761
8,path,0.001,0.8751,0.0603,868.0747
8,wheel,0.001,0.9267,0.0733,373.8914
8,complete,0.001,0.855,0.145,135.7136
8,cycle,0.001,0.9398,0.0559,693.6227
9,path,0.1,0.9977,0.0023,2.0874
9,wheel,0.1,0.9976,0.0024,1.2401
9,complete,0.1,0.9982,0.0018,1.0
9,cycle,0.1,0.9986,0.0014,1.6953
9,path,0.01,0.9888,0.0112,12.1218
9,wheel,0.01,0.9887,0.0113,5.3407
9,complete,0.01,0.9738,0.0262,2.3072
9,cycle,0.01,0.9915,0.0085,8.9552
9,path,0.001,0.8816,0.0402,906.804
9,wheel,0.001,0.9442,0.0558,402.4429
9,complete,0.001,0.8847,0.1153,136.8592
9,cycle,0.001,0.9543,0.0414,777.4042
10,path,0.1,0.9992,0.0008,2.1567
10,wheel,0.1,0.9989,0.0011,1.2663
10,complete,0.1,0.9995,0.0005,1.0
10,cycle,0.1,0.9989,0.0011,1.7736
10,path,0.01,0.9934,0.0066,12.7388
10,wheel,0.01,0.9918,0.0082,5.462
10,complete,0.01,0.9793,0.0207,2.2144
10,cycle,0.01,0.9924,0.0076,9.3146
10,path,0.001,0.884,0.028,928.1346
10,wheel,0.001,0.9573,0.0427,418.3686
10,complete,0.001,0.8911,0.1089,118.6349
10,cycle,0.001,0.9618,0.0312,827.324
15,path,0.1,1.0,0.0,2.3698
15,wheel,0.1,1.0,0.0,1.3509
15,complete,0.1,1.0,0.0,1.0
15,cycle,0.1,1.0,0.0,2.026
15,path,0.01,0.9998,0.0002,14.0512
15,wheel,0.01,0.9989,0.0011,5.9801
15,complete,0.01,0.9899,0.0101,1.8092
15,cycle,0.01,0.9994,0.0006,11.0391
15,path,0.001,0.881,0.0055,1028.9407
15,wheel,0.001,0.9874,0.0125,479.2269
15,complete,0.001,0.9385,0.0615,86.6438
15,cycle,0.001,0.9688,0.0059,982.9256
20,path,0.1,1.0,0.0,2.5607
20,wheel,0.1,1.0,0.0,1.3996
20,complete,0.1,1.0,0.0,1.0
20,cycle,0.1,1.0,0.0,2.2169
20,path,0.01,1.0,0.0,14.8626
20,wheel,0.01,0.9999,0.0001,6.4324
20,complete,0.01,0.9958,0.0042,1.5724
20,cycle,0.01,1.0,0.0,12.1158
20,path,0.001,0.8667,0.001,1071.1599
20,wheel,0.001,0.9962,0.0032,512.4612
20,complete,0.001,0.9568,0.0432,72.0518
20,cycle,0.001,0.9584,0.001,1085.3117
