num_agents,graph,difficulty,prob_successful_convergence,prob_unsuccessful_convergence,avg_time_to_convergence
5,path,0.1,0.955,0.045,1.8048
5,wheel,0.1,0.9804,0.0196,1.4832
5,complete,0.1,0.9702,0.0298,1.3221333333333334
5,cycle,0.1,0.962,0.038,1.326075
5,path,0.01,0.9494,0.0506,2.92288
5,wheel,0.01,0.9244,0.0756,3.06935
5,complete,0.01,0.8795,0.1205,3.056342857142857
5,cycle,0.01,0.9393,0.0607,3.4204625
5,path,0.001,0.7268,0.168,57.332211111111114
5,wheel,0.001,0.7806,0.2189,77.2265
5,complete,0.001,0.7741,0.2259,87.44521818181818
5,cycle,0.001,0.8213,0.169,114.38170833333334
6,path,0.1,0.9871,0.0129,105.72436923076923
6,wheel,0.1,0.9861,0.0139,98.25417857142857
6,complete,0.1,0.9834,0.0166,91.77056666666667
6,cycle,0.1,0.988,0.012,86.12706875
6,path,0.01,0.9577,0.0423,81.6430294117647
6,wheel,0.01,0.9575,0.0425,77.35538888888888
6,complete,0.01,0.9411,0.0589,73.43023684210526
6,cycle,0.01,0.9571,0.0429,70.11607
6,path,0.001,0.7728,0.1027,93.10232857142857
6,wheel,0.001,0.8398,0.1588,102.96808181818182
6,complete,0.001,0.8312,0.1688,105.64184782608696
6,cycle,0.001,0.8523,0.1247,121.5649875
7,path,0.1,0.9891,0.0109,116.781196
7,wheel,0.1,0.9907,0.0093,112.33531923076923
7,complete,0.1,0.993,0.007,108.21178888888889
7,cycle,0.1,0.9915,0.0085,104.40136428571428
7,path,0.01,0.9734,0.0266,101.1806275862069
7,wheel,0.01,0.961,0.039,97.96999333333333
7,complete,0.01,0.9493,0.0507,94.89440322580646
7,cycle,0.01,0.9751,0.0249,92.172440625
7,path,0.001,0.7392,0.0897,106.15551818181818
7,wheel,0.001,0.8989,0.1005,112.29727647058823
7,complete,0.001,0.8433,0.1567,113.21653714285715
7,cycle,0.001,0.8753,0.0963,125.30210833333334
8,path,0.1,0.9954,0.0046,121.97053243243244
8,wheel,0.1,0.9967,0.0033,118.79266578947369
8,complete,0.1,0.9966,0.0034,115.77234102564103
8,cycle,0.1,0.9956,0.0044,112.9195575
8,path,0.01,0.9843,0.0157,110.44648780487805
8,wheel,0.01,0.9788,0.0212,107.93769285714286
8,complete,0.01,0.9602,0.0398,105.48451395348837
8,cycle,0.01,0.9864,0.0136,103.27525454545454
8,path,0.001,0.736,0.0626,113.56536666666666
8,wheel,0.001,0.9265,0.0712,119.18466086956522
8,complete,0.001,0.873,0.127,119.5657914893617
8,cycle,0.001,0.8705,0.0625,129.39466666666667
9,path,0.1,0.998,0.002,126.79729591836735
9,wheel,0.1,0.9973,0.0027,124.286142
9,complete,0.1,0.999,0.001,121.86876666666667
9,cycle,0.1,0.9968,0.0032,119.55775384615384
9,path,0.01,0.9932,0.0068,117.52901132075472
9,wheel,0.01,0.9875,0.0125,115.4500037037037
9,complete,0.01,0.9755,0.0245,113.39302545454545
9,cycle,0.01,0.9912,0.0088,111.52625357142857
9,path,0.001,0.723,0.04,119.64460701754386
9,wheel,0.001,0.9401,0.0573,124.2942327586207
9,complete,0.001,0.8986,0.1014,124.38968474576271
9,cycle,0.001,0.8911,0.0419,133.01566
10,path,0.1,0.999,0.001,130.86958360655737
10,wheel,0.1,0.9987,0.0013,128.77918387096773
10,complete,0.1,0.9989,0.0011,126.75094285714286
10,cycle,0.1,0.9992,0.0008,124.7980921875
10,path,0.01,0.9949,0.0051,123.07023846153847
10,wheel,0.01,0.9928,0.0072,121.28896666666667
10,complete,0.01,0.9772,0.0228,119.51160895522388
10,cycle,0.01,0.9961,0.0039,117.89170882352941
10,path,0.001,0.6946,0.0286,124.53135797101449
10,wheel,0.001,0.9611,0.0335,128.76447142857143
10,complete,0.001,0.8824,0.1176,128.61444225352113
10,cycle,0.001,0.8743,0.0301,135.82230694444445
