num_agents,graph,difficulty,prob_successful_convergence,prob_unsuccessful_convergence,avg_time_to_convergence
3,path,0.1,0.8775,0.1225,1.2367
3,wheel,0.1,0.8691,0.1309,1.11835
3,complete,0.1,0.9075,0.0925,1.0789
3,cycle,0.1,0.883,0.117,1.059175
3,path,0.01,0.8161,0.1839,2.078
3,wheel,0.01,0.7943,0.2057,2.3011666666666666
3,complete,0.01,0.7698,0.2302,2.4481714285714284
3,cycle,0.01,0.8151,0.1849,2.577675
3,path,0.001,0.6594,0.3379,40.195033333333335
3,wheel,0.001,0.6934,0.3066,57.57863
3,complete,0.001,0.6727,0.3273,69.61850909090909
3,cycle,0.001,0.5788,0.4212,78.94868333333334
4,path,0.1,0.9368,0.0632,72.98895384615385
4,wheel,0.1,0.9556,0.0444,67.84688571428572
4,complete,0.1,0.9392,0.0608,63.39042666666667
4,cycle,0.1,0.9425,0.0575,59.50623125
4,path,0.01,0.8872,0.1128,56.429817647058826
4,wheel,0.01,0.835,0.165,53.47265
4,complete,0.01,0.8527,0.1473,50.82884736842105
4,cycle,0.01,0.8749,0.1251,48.52815
4,path,0.001,0.7508,0.2373,68.66767619047619
4,wheel,0.001,0.7324,0.2676,74.06088636363636
4,complete,0.001,0.7372,0.2628,79.47573913043479
4,cycle,0.001,0.7598,0.2402,89.400275
5,path,0.1,0.9666,0.0334,85.891552
5,wheel,0.1,0.9685,0.0315,82.63126538461539
5,complete,0.1,0.9687,0.0313,79.60788518518518
5,cycle,0.1,0.9669,0.0331,76.8115
5,path,0.01,0.9247,0.0753,74.46682068965518
5,wheel,0.01,0.9098,0.0902,72.11575
5,complete,0.01,0.9046,0.0954,69.88691612903226
5,cycle,0.01,0.9242,0.0758,67.891834375
5,path,0.001,0.7932,0.1611,84.08178181818182
5,wheel,0.001,0.7981,0.2019,89.01933529411765
5,complete,0.001,0.7914,0.2086,91.5955
5,cycle,0.001,0.8142,0.1829,100.57308611111111
6,path,0.1,0.9847,0.0153,97.90464864864865
6,wheel,0.1,0.9849,0.0151,95.35866842105263
6,complete,0.1,0.9807,0.0193,92.93921538461538
6,cycle,0.1,0.9859,0.0141,90.6525525
6,path,0.01,0.9498,0.0502,88.68435609756098
6,wheel,0.01,0.9545,0.0455,86.68005714285714
6,complete,0.01,0.9344,0.0656,84.7302534883721
6,cycle,0.01,0.9576,0.0424,82.96129318181818
6,path,0.001,0.8162,0.1036,95.85758888888888
6,wheel,0.001,0.8514,0.1486,100.27435869565217
6,complete,0.001,0.8185,0.1815,101.66160425531915
6,cycle,0.001,0.8672,0.1291,110.47808333333333
7,path,0.1,0.9922,0.0078,108.26283469387755
7,wheel,0.1,0.9919,0.0081,106.121348
7,complete,0.1,0.9921,0.0079,104.06014509803921
7,cycle,0.1,0.991,0.009,102.08897115384616
7,path,0.01,0.9756,0.0244,100.36407924528302
7,wheel,0.01,0.9665,0.0335,98.59402592592592
7,complete,0.01,0.9465,0.0535,96.8491309090909
7,cycle,0.01,0.9762,0.0238,95.258325
7,path,0.001,0.8228,0.0831,105.76157368421053
7,wheel,0.001,0.9015,0.0985,109.85537068965517
7,complete,0.001,0.858,0.142,110.6202220338983
7,cycle,0.001,0.909,0.084,118.95305666666667
8,path,0.1,0.9956,0.0044,117.03677213114754
8,wheel,0.1,0.996,0.004,115.16870322580645
8,complete,0.1,0.9963,0.0037,113.3565015873016
8,cycle,0.1,0.9957,0.0043,111.611
8,path,0.01,0.9847,0.0153,110.07401846153846
8,wheel,0.01,0.9793,0.0207,108.4834303030303
8,complete,0.01,0.9606,0.0394,106.90097014925374
8,cycle,0.01,0.9842,0.0158,105.4512455882353
8,path,0.001,0.8272,0.0564,114.8469884057971
8,wheel,0.001,0.9241,0.0756,118.59237571428571
8,complete,0.001,0.8506,0.1494,118.89469718309859
8,cycle,0.001,0.9273,0.0591,126.5623138888889
9,path,0.1,0.9978,0.0022,124.85737123287672
9,wheel,0.1,0.9977,0.0023,123.18684729729729
9,complete,0.1,0.9975,0.0025,121.55768933333333
9,cycle,0.1,0.9989,0.0011,119.98056052631578
9,path,0.01,0.9918,0.0082,118.57825844155845
9,wheel,0.01,0.9877,0.0123,117.12596538461538
9,complete,0.01,0.9736,0.0264,115.67275569620253
9,cycle,0.01,0.9915,0.0085,114.3385425
9,path,0.001,0.8184,0.0415,122.28338395061728
9,wheel,0.001,0.9496,0.05,125.62619390243903
9,complete,0.001,0.9014,0.0986,125.62489036144578
9,cycle,0.001,0.9384,0.0426,132.7492976190476
10,path,0.1,0.9988,0.0012,131.21273529411764
10,wheel,0.1,0.9989,0.0011,129.70170813953487
10,complete,0.1,0.9985,0.0015,128.22237816091953
10,cycle,0.1,0.9994,0.0006,126.78553068181819
10,path,0.01,0.992,0.008,125.50234382022472
10,wheel,0.01,0.993,0.007,124.16895
10,complete,0.01,0.9782,0.0218,122.82867252747253
10,cycle,0.01,0.9944,0.0056,121.59480869565218
10,path,0.001,0.8315,0.0303,128.78463333333335
10,wheel,0.001,0.9593,0.0402,131.89127978723405
10,complete,0.001,0.8997,0.1003,131.74054
10,cycle,0.001,0.9454,0.0311,138.32102395833334
11,path,0.1,0.999,0.001,136.91781134020619
11,wheel,0.1,0.999,0.001,135.53377448979592
11,complete,0.1,0.999,0.001,134.17484747474748
11,cycle,0.1,0.9992,0.0008,132.851416
11,path,0.01,0.9966,0.0034,131.66333267326732
11,wheel,0.01,0.9942,0.0058,130.42695490196078
11,complete,0.01,0.9841,0.0159,129.18122524271845
11,cycle,0.01,0.9967,0.0033,128.03253557692307
11,path,0.001,0.8219,0.0198,134.5117980952381
11,wheel,0.001,0.9725,0.0271,137.33670566037736
11,complete,0.001,0.9093,0.0907,137.13405420560747
11,cycle,0.001,0.9445,0.0222,143.32969814814814
