num_agents,graph,difficulty,successful_convergence,unsuccessful_convergence,time_to_convergence
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,67
10,complete,0.001,1,0,67
10,complete,0.001,1,0,67
10,complete,0.001,1,0,67
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
