id,x,y,z
0,-0.37909,-0.41553,-0.55833
1,-0.46596,-0.43382,-0.49286
2,-0.11198,-0.63279,-0.4912
3,-0.06428,-0.16534,-0.56143
4,-0.25049,-0.38411,-0.42374
5,-0.07656,-0.56291,-0.55911
6,-0.33881,-0.54599,-0.39995
7,-0.17947,-0.13129,-0.58716
8,-0.46316,-0.27004,-0.54235
9,-0.36117,-0.35513,-0.62541
10,-0.34612,-0.24941,-0.6551
11,-0.1549,-0.19233,-0.47996
12,-0.25557,-0.39062,-0.54445
13,-0.20635,-0.22659,-0.64355
14,-0.28062,-0.30827,-0.64414
15,-0.23506,-0.49961,-0.44491
16,-0.15576,-0.5561,-0.58739
17,-0.21111,-0.65584,-0.40601
18,-0.13892,-0.52651,-0.46915
19,0.04391,-0.25621,-0.45558
20,-0.31611,-0.46284,-0.59899
21,-0.32861,-0.16466,-0.49018
22,-0.43051,-0.34924,-0.5703
23,-0.41549,-0.49748,-0.45262
24,-0.14806,-0.62441,-0.41838
25,-0.19846,-0.29087,-0.51903
26,-0.24411,-0.52192,-0.59952
27,-0.05449,-0.39814,-0.55314
28,-0.27998,-0.5534,-0.53636
29,-0.25723,-0.61554,-0.45882
30,0.61204,-0.28247,-0.27137
31,0.46323,-0.10636,0.18315
32,0.54576,-0.10228,0.0081
33,0.60448,-0.19012,-0.02493
34,0.4611,-0.60149,0.08431
35,0.47504,-0.46297,0.18478
36,0.50081,-0.2584,0.34925
37,0.5243,-0.29583,-0.01637
38,0.35334,-0.67052,0.18257
39,0.55637,-0.41324,-0.07871
40,0.58879,-0.13333,0.16094
41,0.64136,-0.2569,-0.0966
42,0.46804,-0.27589,0.17143
43,0.36049,-0.24838,0.40047
44,0.4935,-0.35435,0.08841
45,0.49279,-0.59687,-0.10931
46,0.51339,-0.20202,0.08504
47,0.54189,-0.29461,0.23942
48,0.51596,-0.0541,0.07901
49,0.5191,-0.06418,-0.09264
50,0.4291,-0.30924,0.41664
51,0.59451,-0.16597,-0.27344
52,0.39291,-0.58255,0.12647
53,0.38725,-0.66496,-0.00182
54,0.47395,-0.18944,0.2538
55,0.36532,-0.70193,0.08354
56,0.3283,-0.35957,0.51523
57,0.50911,-0.49175,-0.16194
58,0.62513,-0.21696,0.06127
59,0.49826,-0.53197,-0.05087
60,0.17083,-0.08309,0.39558
61,-0.03156,-0.72932,0.13725
62,0.2109,-0.26893,0.12088
63,0.05557,-0.35674,0.51523
64,0.14409,-0.58017,0.12088
65,0.21594,-0.36919,0.18082
66,0.22869,-0.40375,0.27773
67,0.15153,-0.67363,0.17589
68,0.0578,-0.61725,0.368
69,0.24032,-0.49724,0.10022
70,0.13715,-0.38761,0.48024
71,0.0581,-0.45206,0.52479
72,-0.13709,-0.71451,0.12225
73,0.1674,-0.50484,0.17315
74,0.26507,-0.28221,0.23828
75,0.07952,-0.71639,0.08709
76,0.14639,-0.49509,0.37119
77,0.06355,-0.58239,0.17367
78,0.1896,-0.3944,0.39553
79,0.19818,-0.55458,0.26229
80,0.22019,-0.16211,0.17196
81,-0.02634,-0.65089,0.35038
82,-0.03,-0.6977,0.2563
83,0.11026,-0.55539,0.47257
84,0.04702,-0.51567,0.40163
85,0.11263,-0.5727,0.31586
86,0.05145,-0.69908,0.15686
87,0.04583,-0.66186,0.26924
88,0.13723,-0.65474,0.279
89,-0.13264,-0.68783,0.22695
90,0.14759,-0.09589,0.21875
91,0.10856,-0.31404,0.35302
92,-0.03307,-0.17285,0.50177
93,-0.21246,-0.49967,0.45504
94,-0.13407,-0.47354,0.5192
95,-0.08371,-0.33339,0.51328
96,0.03025,-0.26527,0.47967
97,-0.29313,-0.62506,0.22693
98,0.04019,-0.36935,0.19852
99,0.08982,-0.18495,0.47208
100,-0.28563,-0.61267,0.31277
101,-0.26838,-0.61149,0.13213
102,-0.11411,-0.63598,0.28021
103,-0.06165,-0.31135,0.59054
104,-0.04444,-0.6066,0.19009
105,-0.20882,-0.67322,0.18574
106,-0.07488,-0.57108,0.4196
107,-0.0534,-0.50571,0.46727
108,-0.0443,-0.42531,0.53132
109,0.07681,-0.41935,0.29235
110,0.14117,-0.21567,0.27086
111,-0.12729,-0.57808,0.32533
112,-0.15246,-0.57572,0.44867
113,-0.20785,-0.6254,0.27283
114,0.1366,-0.22577,0.38722
115,-0.05888,-0.47068,0.1776
116,-0.0376,-0.49132,0.28357
117,0.01469,-0.32574,0.38594
118,-0.20923,-0.57224,0.36387
119,-0.04278,-0.43445,0.38482
120,-0.37576,-0.34112,0.46727
121,-0.17498,-0.4346,0.28731
122,-0.2114,-0.41715,0.39376
123,-0.30487,-0.34743,0.52186
124,-0.00529,-0.1718,0.27591
125,-0.20786,-0.27709,0.55046
126,-0.16548,-0.40532,0.18784
127,-0.31822,-0.51863,0.41547
128,-0.30389,-0.24736,0.52596
129,-0.07833,-0.27469,0.26707
130,-0.37361,-0.43165,0.44207
131,-0.12444,-0.3678,0.43866
132,-0.37961,-0.50558,0.34848
133,-0.19505,-0.55013,0.12976
134,-0.43399,-0.26464,0.45859
135,-0.25439,-0.31786,0.46106
136,-0.24441,-0.2017,0.46629
137,-0.14677,-0.24171,0.35463
138,-0.34276,-0.55025,0.21618
139,-0.03369,-0.17692,0.3773
140,-0.33672,-0.32842,0.34187
141,-0.14053,-0.22277,0.49409
142,-0.40434,-0.55031,0.26978
143,0.02276,-0.23877,0.17583
144,-0.2761,-0.51201,0.27873
145,-0.29253,-0.44156,0.34968
146,-0.28014,-0.43659,0.48846
147,0.04746,-0.08791,0.3163
148,-0.1918,-0.37782,0.51971
149,0.04255,-0.13374,0.14127
150,-0.42278,-0.26294,0.24106
151,-0.37864,-0.1617,0.42448
152,-0.45224,-0.44467,0.34234
153,-0.291,-0.08577,0.24855
154,-0.23849,-0.03014,0.39618
155,-0.08786,-0.06879,0.35147
156,-0.32641,-0.43144,0.13287
157,-0.38205,-0.39497,0.2658
158,-0.27397,-0.19429,0.26774
159,-0.44502,-0.37633,0.40314
160,-0.13254,0.05395,0.19648
161,-0.41006,-0.55267,0.15334
162,-0.25001,-0.30622,0.22161
163,-0.49414,-0.22642,0.3682
164,-0.20023,-0.00146,0.26425
165,0.03406,-0.0011,0.25511
166,-0.5308,-0.32568,0.32512
167,-0.15607,0.03095,0.33936
168,-0.29054,-0.124,0.50548
169,-0.38247,-0.17236,0.52587
170,-0.35078,-0.22352,0.37455
171,-0.23414,-0.12876,0.35518
172,-0.17336,-0.11392,0.47558
173,-0.49421,-0.40241,0.29763
174,-0.04485,-0.0732,0.19548
175,-0.47597,-0.30403,0.37754
176,-0.50636,-0.351,0.2286
177,-0.5065,-0.41923,0.14141
178,-0.48149,-0.46344,0.22394
179,-0.10026,-0.05284,0.44151
180,-0.22689,-0.17466,0.12683
181,-0.46881,-0.02689,0.35868
182,-0.36244,0.0433,0.18984
183,-0.42645,-0.10758,0.10986
184,-0.27499,0.06817,0.33107
185,-0.54809,-0.23108,0.15847
186,-0.43033,-0.45482,0.18884
187,-0.36013,0.01654,0.31529
188,-0.51496,-0.18324,0.27949
189,-0.45283,0.01,0.25968
190,-0.47329,-0.49835,0.10467
