id,x,y
0,-0.41258,0.03982
1,-0.56861,0.15173
2,-0.58259,0.1525
3,-0.41747,0.31207
4,-0.41171,0.36186
5,-0.75547,0.15406
6,-0.78261,0.16868
7,-0.66706,0.4054
8,-0.42116,0.33428
9,-0.67304,0.39663
10,-0.4239,0.32445
11,-0.59998,0.16017
12,-0.73039,0.17524
13,-0.73135,-0.04168
14,-0.41996,0.33174
15,-0.42493,0.49018
16,-0.36791,0.03823
17,-0.19198,0.22489
18,-0.72853,-0.05155
19,-0.74399,-0.06407
20,-0.70769,-0.03802
21,-0.58269,-0.23403
22,-0.04896,0.06412
23,-0.41491,0.03311
24,-0.70494,-0.04816
25,-0.016,0.06098
26,-0.48273,0.52579
27,-0.19309,0.20966
28,-0.19415,-0.14369
29,-0.39011,0.04597
30,0.40645,0.30152
31,0.50039,0.25878
32,0.40546,0.59054
33,0.32233,0.28165
34,0.429,0.06696
35,0.56259,-0.23339
36,0.50875,0.5052
37,0.26201,0.54255
38,0.44746,0.06076
39,0.27648,0.65756
40,0.57888,0.2712
41,0.54678,0.45208
42,0.20055,0.70539
43,0.19442,0.68444
44,0.50378,0.24188
45,0.2771,0.60263
46,0.67471,0.49427
47,0.63478,-0.01689
48,0.20977,0.64607
49,0.40352,0.63827
50,0.65763,0.45566
51,0.36579,0.30201
52,0.38247,0.05767
53,0.26381,0.77222
54,0.59619,0.26177
55,0.24954,0.56183
56,0.27388,0.53473
57,0.40014,0.28072
58,0.42395,0.45035
59,0.21372,0.69457
60,0.65388,0.20794
61,0.49277,0.03728
62,0.38492,-0.16103
63,-0.03813,-0.4027
64,0.07824,0.30482
65,0.15815,-0.32098
66,0.33665,0.0588
67,0.533,-0.25605
68,0.36018,0.04871
69,0.1163,0.35909
70,0.20609,-0.07499
71,0.18154,-0.09584
72,0.3093,0.26455
73,-0.06951,-0.1946
74,0.42497,0.05402
75,-0.18791,-0.5649
76,0.12635,-0.29732
77,0.57087,-0.22457
78,0.35881,0.05059
79,0.27746,0.24354
80,0.28612,0.49995
81,-0.47717,-0.41859
82,0.05492,-0.76557
83,0.13071,-0.07636
84,0.2143,-0.35506
85,0.107,0.0808
86,-0.40401,-0.6548
87,0.15125,-0.0744
88,0.37072,-0.18471
89,0.1879,-0.08663
90,-0.44508,-0.57484
91,0.06444,0.08999
92,0.14764,-0.31066
93,0.34269,-0.13573
94,0.22339,-0.10934
95,0.13529,0.13929
96,-0.2225,-0.57206
97,-0.22638,-0.53721
98,-0.1584,0.22186
99,0.19058,-0.09438
100,0.16034,0.10953
101,-0.38552,-0.37697
102,-0.4621,-0.45184
103,-0.46313,-0.44525
104,0.05894,0.31946
105,-0.52309,-0.51236
106,0.2515,-0.10223
107,0.16662,-0.09762
108,0.42943,-0.21527
109,0.15121,0.08699
110,0.43523,0.04801
111,0.18109,0.11818
112,-0.28438,-0.47405
113,0.26173,0.25767
114,-0.08123,-0.17984
115,0.09879,0.29784
116,0.2225,0.26705
117,0.18802,-0.33763
118,-0.00514,0.05786
119,-0.00731,0.06968
120,-0.08426,-0.442
121,0.09338,-0.29934
122,-0.06421,-0.4502
123,0.1671,-0.34094
124,-0.07703,-0.39193
125,-0.07374,-0.4156
126,0.33726,-0.38085
127,-0.05746,-0.42924
128,-0.42953,-0.43707
129,0.17711,-0.32232
130,-0.08251,-0.18052
131,-0.0572,-0.3661
132,0.16519,0.07775
133,-0.49653,-0.46949
134,0.12177,-0.14034
135,-0.0107,-0.67624
136,-0.54586,-0.18764
137,-0.20326,0.24246
138,-0.09562,0.09713
139,-0.08563,-0.38485
140,-0.40325,0.02972
141,0.08376,0.08035
142,-0.42335,-0.44703
143,-0.03783,0.25941
144,0.32109,-0.13544
145,0.10737,-0.30304
146,-0.03051,0.07419
147,0.30079,-0.119
148,0.19032,-0.58186
149,-0.01522,-0.58016
150,-0.21377,-0.57691
151,-0.41778,-0.41437
152,-0.02799,-0.22592
153,-0.01061,-0.46899
154,0.1518,-0.3378
155,-0.19994,-0.14148
156,-0.20605,0.20601
157,-0.30325,-0.35171
158,-0.32546,-0.30218
159,-0.3098,-0.36249
160,0.13051,-0.08105
161,0.04812,0.08944
162,0.25664,-0.09419
163,0.19507,-0.34266
164,-0.08494,-0.3885
165,-0.3159,-0.33281
166,-0.19273,-0.64555
167,-0.33873,-0.35616
168,-0.43558,-0.1577
169,-0.42617,-0.474
170,-0.38073,-0.41732
171,0.17361,-0.54342
172,0.13302,-0.30099
173,0.07232,0.29883
174,-0.06912,-0.40498
175,-0.31509,-0.39636
176,-0.12082,-0.20209
177,-0.26208,-0.44789
178,0.08329,0.07507
179,0.16662,-0.33398
180,-0.37589,-0.38384
181,-0.13085,0.12268
182,-0.46765,-0.45474
183,-0.06366,-0.43248
184,-0.27137,-0.34651
185,-0.3643,-0.66406
186,-0.05394,0.10782
187,-0.32625,-0.29171
188,-0.36789,0.02646
189,-0.28536,-0.25456
190,-0.03471,-0.47344
191,-0.06772,-0.37611
192,0.15597,-0.33932
193,-0.01372,-0.64826
194,-0.06615,-0.4279
195,-0.50616,-0.5413
196,-0.04179,-0.47846
197,-0.25992,-0.2532
198,-0.07812,-0.1927
199,-0.15738,-0.12418
200,-0.13532,-0.18417
201,-0.29831,-0.33489
202,-0.22248,-0.58467
203,-0.24349,-0.16038
204,-0.16308,0.1565
205,0.13202,-0.31519
206,-0.23665,-0.56124
207,-0.47032,-0.48759
208,0.51291,-0.20676
209,-0.17989,-0.6921
210,-0.05501,0.69167
211,0.0207,0.30874
212,0.23278,0.70914
213,-0.01274,0.7434
214,-0.24757,0.65647
215,-0.1528,0.48444
216,-0.29429,0.68153
217,-0.01755,0.62655
218,-0.00242,0.73505
219,-0.45089,0.50072
220,-0.01393,0.52383
221,-0.28614,0.63166
222,-0.01915,0.73905
223,-0.05775,0.68585
224,0.01262,0.7152
225,-0.4745,0.5749
226,-0.00898,0.56312
227,-0.22784,0.59718
228,0.04164,0.77628
229,-0.50586,-0.17341
230,-0.03148,0.74485
231,-0.03098,0.67079
232,-0.03291,0.64894
233,-0.2638,0.65975
234,-0.0293,0.54043
235,-0.2586,0.6792
236,-0.27735,0.67745
237,-0.45772,0.5581
238,-0.03686,0.62439
239,-0.24149,0.61264
240,-0.0598,0.64698
241,-0.2216,0.42878
242,-0.31045,0.66874
243,-0.49369,0.55884
244,-0.7184,-0.04928
245,-0.27299,0.65831
246,-0.00474,0.56444
247,-0.25633,0.62922
248,-0.71945,-0.03391
249,-0.48908,0.54913
250,-0.62956,0.3749
251,-0.24479,0.60375
252,-0.47229,0.56136
253,-0.41674,0.35798
254,-0.26706,0.67673
255,0.05473,0.31906
256,-0.16363,0.45164
